[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001313s ]
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001412s ]
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000751s ]
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000819s ]
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001645s ]
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001723s ]
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:42:09+08:00 ] /X/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
