[ 2015-04-29T17:30:50+08:00 ] /X/index.php | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001523s ]
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001626s ]
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005422s ]
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.006385s ]
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | INFO: Tag[ view_template ] --START--
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001346s ]
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001408s ]
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-04-29T17:36:17+08:00 ] /X/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
